designation;categories;siret;adresse;adresse_courte;commune;code_postal;code_insee;web;telephone;email;media_social;latitude;longitude;association
MIRABELLE;Commerce accessoires, bijoux, decoration maison;;90 rue Gaston Doumergue;;Tournefeuille;31170;;https://www.facebook.com/mirabelletournefeuille/;;;;;;Made In Tournefeuille: www.made-in-tournefeuille.fr
NEORTIC AUTOMOBILES;Agent Citroën;;83/85 route de Tarbes;;Tournefeuille;31170;;http://neortic-automobiles.fr/;;;;;;Made In Tournefeuille: www.made-in-tournefeuille.fr
NICOLAS;Caviste;;3 boulevard Vincent Auriol;;Tournefeuille;31170;;https://www.nicolas.com/;;;;;;Made In Tournefeuille: www.made-in-tournefeuille.fr
NOEMIA KIDS CORNER;Magasin de jouets;;89 rue Gaston Doumergue;;Tournefeuille;31170;;https://www.noemia-shop.fr/;;;;;;Made In Tournefeuille: www.made-in-tournefeuille.fr
ODONDESOI;Magnetiseur;;19 boulevard Goya;;Tournefeuille;31170;;https://www.odondesoi.fr/;;;;;;Made In Tournefeuille: www.made-in-tournefeuille.fr
PACHENT GERALDINE;Praticienne en Energetique Chinoise;;2 Chemin de Larramet;;Tournefeuille;31170;;https://geraldinepachent-medecinetraditionnellechinoise.webnode.fr/;;;;;;Made In Tournefeuille: www.made-in-tournefeuille.fr
PATISSERIE BERGO;Patissier, chocolatier;;87 rue Gaston Doumergue;;Tournefeuille;31170;;http://www.patisseriebergo.fr/;;;;;;Made In Tournefeuille: www.made-in-tournefeuille.fr
PENEL OPTIQUE;Opticien;;74 rue Gaston Doumergue;;Tournefeuille;31170;;http://peneloptique.expertsantevisuelle.com/;;;;;;Made In Tournefeuille: www.made-in-tournefeuille.fr
PEREZ STEPHANE;Kinesitherapeute;;179 rue Gaston Doumergue;;Tournefeuille;31170;;;;;;;;Made In Tournefeuille: www.made-in-tournefeuille.fr
PHARMACIE FABREGUETTES;Pharmacie;;5 allee des Freres Higouneng;;Tournefeuille;31170;;;;;;;;Made In Tournefeuille: www.made-in-tournefeuille.fr
PHARMACIE DU CENTRE;Pharmacie;;67 rue Gaston Doumergue;;Tournefeuille;31170;;;;;;;;Made In Tournefeuille: www.made-in-tournefeuille.fr
PHARMACIE DU VIEUX PIGEONNIER;Pharmacie;;3 rue Hector Berlioz;;Tournefeuille;31170;;;;;;;;Made In Tournefeuille: www.made-in-tournefeuille.fr
PINK BAROQUE;Institut de beaute;;1 rue Maurice Ravel;;Tournefeuille;31170;;https://www.pinkbaroque31.com/;;;;;;Made In Tournefeuille: www.made-in-tournefeuille.fr
PUECH SYLVIE;Notaire;;165 rue Gaston Doumergue;;Tournefeuille;31170;;;;;;;;Made In Tournefeuille: www.made-in-tournefeuille.fr
REST AMI;Conseil en achat restauration collective;;13 rue du Verger;;Tournefeuille;31170;;;07 85 59 13 37;;;;;Made In Tournefeuille: www.made-in-tournefeuille.fr
SHIVA;Menage et repassage a domicile;;70 rue Gaston Doumergue;;Tournefeuille;31170;;https://www.shiva.fr/menage-repassage-domicile/tournefeuille;;;;;;Made In Tournefeuille: www.made-in-tournefeuille.fr
SLCOM;Agence de communication;;37 chemin de Fournaulis;;Tournefeuille;31170;;https://www.agence-slcom.fr/;;;;;;Made In Tournefeuille: www.made-in-tournefeuille.fr
SOCIETE GENERALE;Banque;;129 rue Gaston Doumergue;;Tournefeuille;31170;;https://agences.societegenerale.fr/banque-assurance/agence-tournefeuille-id3000302060?xtor=CS2-1003282-[GoogleMyBusiness]-[boutonSiteWeb];;;;;;Made In Tournefeuille: www.made-in-tournefeuille.fr
STIMULI;Praticienne gestion du stress et des emotions;;28 chemin de Grillou;;Tournefeuille;31170;;http://www.stimuli-tnf.fr/;;;;;;Made In Tournefeuille: www.made-in-tournefeuille.fr
SWISSLIFE;Compagnie d'assurance vie;;5 boulevard Vincent Auriol;;Tournefeuille;31170;;https://agences.swisslife-direct.fr/assurance/agence-pascale-tonicello-id0041730;;;;;;Made In Tournefeuille: www.made-in-tournefeuille.fr
TERRE BLANCHE CONCEPT STORE;Boutique d'articles de mode;;50 rue Gaston Doumergue;;Tournefeuille;31170;;https://www.facebook.com/terreblancheconceptstore/;;;;;;Made In Tournefeuille: www.made-in-tournefeuille.fr
TONNERRES DE BREST;Creperie;;35 rue Gaston Doumergue;;Tournefeuille;31170;;https://www.facebook.com/tonnerresdebrest/;;;;;;Made In Tournefeuille: www.made-in-tournefeuille.fr
TOURNEFEUILLE AUTOMOBILES;Agent Renault;;54 boulevard Vincent AZuriol;;Tournefeuille;31170;;http://www.tournefeuille-automobiles.fr/;;;;;;Made In Tournefeuille: www.made-in-tournefeuille.fr
TUTTI PIZZA;Pizzeria;;35 rue Gaston Doumergue;;Tournefeuille;31170;;https://pizzerias.tutti-pizza.com/18-tutti-pizza-tournefeuille?utm_source=gmb;;;;;;Made In Tournefeuille: www.made-in-tournefeuille.fr
YANTRIS;Geometres-Experts;;45 boulevard Vincent Auriol;;Tournefeuille;31170;;https://www.yantris.fr/;;;;;;Made In Tournefeuille: www.made-in-tournefeuille.fr
ZIA ARCHITECTURE;Architecte;;43 chemin de la Peyrette;;Tournefeuille;31170;;https://www.zia-architecture.com/coming-soon/;;;;;;Made In Tournefeuille: www.made-in-tournefeuille.fr
